ID,Genero,sp,Local,Tratamento,LTh,TiL,TarL,FL,AL,FL,HL_M,ED,HW,HL_Rostro,Larg_Boca,Timpano,Disco_Ades_M,Disco_Ades_P,CRC,Massa (gramas)
2612,Pseudopaludicola,Pseudopaludicola_falcipes,B,disturbed,3.59,5.25,2.43,4.66,2.29,1.64,1.98,0.66,3.75,3.35,2.70,NA,NA,NA,9.06,0.1
2613,Pseudopaludicola,Pseudopaludicola_falcipes,B,disturbed,3.96,4.40,2.54,4.34,2.13,1.70,2.01,0.40,0.57,3.30,2.70,NA,NA,NA,8.67,0.1
2614,Pseudopaludicola,Pseudopaludicola_falcipes,B,disturbed,3.79,4.90,3.06,4.89,1.61,1.72,2.73,0.61,0.69,4.60,2.95,NA,NA,NA,10.09,0.05
2615,Rhinella,Rhinella_dorbignyi,B,disturbed,4.00,4.12,2.15,2.90,1.96,2.28,2.05,1.39,0.91,4.35,4.93,1.71,NA,NA,14.48,0.15
2616,Rhinella,Rhinella_dorbignyi,A,disturbed,3.83,3.83,1.55,3.20,2.53,1.67,2.43,0.84,2.01,3.46,3.95,1.09,NA,NA,12.13,0.20
2617,Rhinella,Rhinella_dorbignyi,A,disturbed,3.69,3.15,NA,5.42,2.95,1.79,2.41,1.54,0.65,4.18,3.93,NA,NA,NA,12.51,15.00
2618,Scinax,Scinax_granulatus,E,undisturbed,21.38,22.27,11.45,17.48,6.22,6.36,9.90,2.76,1.57,14.19,13.03,2.03,2.03,1.54,41.45,3.10
2619,Scinax,Scinax_granulatus,E,undisturbed,15.13,16.97,9.08,13.23,5.44,5.36,8.34,2.52,2.34,11.66,10.89,1.30,1.25,1.25,32.31,2.25
2620,Scinax,Scinax_granulatus,E,undisturbed,10.92,14.09,7.79,11.08,4.85,4.14,6.49,1.89,2.00,8.49,8.34,1.45,1.27,1.14,27.81,1.15
2621,Leptodactylus,Leptodactylus_latrans,E,undisturbed,29.23,30.24,17.97,32.03,8.96,12.60,12.34,4.13,5.54,21.08,19.01,2.92,NA,NA,63.93,16.90
2622,Leptodactylus,Leptodactylus_latrans,C,disturbed,31.82,32.38,30.17,34.51,11.22,10.48,13.74,4.89,5.37,22.24,21.15,4.62,NA,NA,74.14,19.50
2623,Leptodactylus,Leptodactylus_latrans,C,disturbed,24.91,25.68,13.74,26.22,8.82,10.39,9.50,4.50,4.61,18.93,18.99,2.88,NA,NA,51.46,10.10
2629,Physalaemus,Physalaemus_cuvieri,F,undisturbed,10.32,11.59,6.83,13.27,6.61,5.24,5.23,1.52,1.37,9.00,10.90,1.14,NA,NA,25.80,1.05
2630,Pseudis,Pseudis_minuta,A,disturbed,14.42,15.26,7.20,14.47,3.31,6.21,9.24,2.48,1.63,8.78,9.69,2.52,NA,NA,30.77,1.90
2631,Leptodactylus,Leptodactylus_latrans,F,undisturbed,20.47,22.63,13.00,28.05,8.69,9.07,11.55,3.09,3.97,16.03,13.67,2.06,NA,NA,49.10,7.60
2632,Leptodactylus,Leptodactylus_latrans,F,undisturbed,26.49,25.99,13.83,28.17,9.96,10.40,10.06,3.96,3.92,21.60,16.34,2.89,NA,NA,55.78,10.90
2633,Leptodactylus,Leptodactylus_latrans,F,undisturbed,8.52,8.98,6.09,9.50,3.93,3.24,5.44,1.33,0.95,8.92,7.58,1.67,NA,NA,23.50,0.45
2634,Leptodactylus,Leptodactylus_latrans,D,undisturbed,24.54,26.02,14.18,27.52,5.81,10.20,11.04,4.42,3.92,18.39,17.41,2.73,NA,NA,57.65,10.65
2635,Leptodactylus,Leptodactylus_latrans,A,disturbed,25.98,27.61,15.60,22.82,8.53,10.10,13.80,3.89,4.63,18.03,18.29,3.65,NA,NA,56.22,12.30
2636,Leptodactylus,Leptodactylus_latrans,A,disturbed,27.25,28.66,16.43,30.60,6.95,11.59,13.39,5.68,4.41,19.02,18.91,3.34,NA,NA,59.81,16.15
2637,Leptodactylus,Leptodactylus_latrans,A,disturbed,23.77,24.64,14.65,26.87,7.56,9.69,12.65,3.88,4.16,19.76,16.52,2.71,NA,NA,52.65,10.25
2638,Leptodactylus,Leptodactylus_latrans,B,disturbed,27.32,28.44,17.20,30.75,10.40,12.68,11.78,4.76,5.33,17.00,20.01,3.58,NA,NA,59.32,14.30
2639,Leptodactylus,Leptodactylus_latrans,B,disturbed,24.66,29.18,16.98,30.42,7.55,8.82,11.24,5.36,5.76,23.04,20.89,3.83,NA,NA,64.59,27.05
2640,Leptodactylus,Leptodactylus_latrans,B,disturbed,25.76,30.48,18.44,33.14,7.70,8.99,10.96,6.03,6.62,17.41,18.71,2.81,NA,NA,59.44,18.30
2641,Pseudopaludicola,Pseudopaludicola_falcipes,E,undisturbed,5.38,5.26,3.16,4.92,1.49,1.61,3.24,1.10,0.65,4.48,3.68,0.57,NA,NA,9.76,0.1
2642,Pseudopaludicola,Pseudopaludicola_falcipes,E,undisturbed,5.65,7.21,4.69,8.03,2.27,2.71,3.96,1.39,0.94,5.26,3.59,0.73,NA,NA,13.99,0.20
2643,Pseudopaludicola,Pseudopaludicola_falcipes,E,undisturbed,6.23,6.31,3.86,4.19,2.76,3.47,3.90,1.04,1.46,4.60,3.48,0.89,NA,NA,11.31,0.05
